image,link,price,titile
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-gtx-1660-ti-gaming-oc-6gb-ddr6-graphics-card-1564037866.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1660-ti-gaming-oc-6gb-ddr6-graphics-card,"৳ 31,500",Gigabyte GeForce GTX 1660 Ti GAMING OC 6GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2060-oc-6gb-ddr6-graphics-card-1564038903.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2060-oc-6gb-ddr6-graphics-card,"৳ 37,500",Gigabyte GeForce RTX 2060 OC 6GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2060-windforce-oc-6gb-ddr6-graphics-card-1564039576.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2060-windforce-oc-6gb-ddr6-graphics-card,"৳ 38,500",Gigabyte GeForce RTX 2060 WINDFORCE OC 6GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2060-gaming-oc-pro-6gb-ddr6-graphics-card-1564045695.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2060-gaming-oc-pro-6gb-ddr6-graphics-card,"৳ 40,000",Gigabyte GeForce RTX 2060 GAMING OC PRO 6GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2070-windforce-8gb-ddr6-graphics-card-1564046614.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2070-windforce-8gb-ddr6-graphics-card,"৳ 53,000",Gigabyte GeForce RTX 2070 WINDFORCE 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2070-gaming-oc-white-8gb-ddr6-graphics-card-1564048030.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2070-gaming-oc-white-8gb-ddr6-graphics-card,"৳ 59,000",Gigabyte GeForce RTX 2070 GAMING OC WHITE 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/ASUS DUAL-GTX1070-O8G 8GB Graphics Card.jpeg,https://www.village-bd.com/asus-dual-gtx1070-o8g-8gb-graphics-card,"৳ 50,500",ASUS DUAL-GTX1070-O8G 8GB Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-aorus-geforce-rtx-2070-8gb-ddr6-graphics-card-1564049154.jpg,https://www.village-bd.com/gigabyte-aorus-geforce-rtx-2070-8gb-ddr6-graphics-card,"৳ 63,000",Gigabyte AORUS GeForce RTX 2070 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2080-gaming-oc-white-8gb-ddr6-graphics-card-1564051797.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2080-gaming-oc-white-8gb-ddr6-graphics-card,"৳ 81,000",Gigabyte GeForce RTX 2080 GAMING OC WHITE 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2080-windforce-oc-8gb-graphics-card-1564054425.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2080-windforce-oc-8gb-ddr6-graphics-card,"৳ 83,000",Gigabyte GeForce RTX 2080 WINDFORCE OC 8GB DDR6 Graphics Card
